"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 09 15:56:57 IST 2021","Sun May 09 15:56:57 IST 2021","22","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I verify email available as ""anz34584@gmail.com""","And I verify email available as ""anz34584@gmail.com""",""
"passed","Sun May 09 15:57:32 IST 2021","Sun May 09 15:57:35 IST 2021","2632","","Register Page: Register with required fields","","Register Page: Register with required fields","And I enter last name as ""all""","And I enter last name as ""all""",""
"passed","Sun May 09 15:57:22 IST 2021","Sun May 09 15:57:27 IST 2021","5400","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I enter email as ""anz34584@gmail.com"" and password as ""D@rk9""","And I enter email as ""anz34584@gmail.com"" and password as ""D@rk9""",""
"passed","Sun May 09 15:57:24 IST 2021","Sun May 09 15:57:25 IST 2021","1256","","Register Page: Register with all fields","","Register Page: Register with all fields","And I verify user on home page","And I verify user on home page",""
"passed","Sun May 09 15:57:37 IST 2021","Sun May 09 15:57:37 IST 2021","65","","Register Page: Register with required fields","","Register Page: Register with required fields","And I entered address1 as ""address1""","And I entered address1 as ""address1""",""
"passed","Sun May 09 15:56:58 IST 2021","Sun May 09 15:56:58 IST 2021","49","","Register Page: Register with all fields","","Register Page: Register with all fields","And I enter password as ""D@rk9""","And I enter password as ""D@rk9""",""
"passed","Sun May 09 15:57:35 IST 2021","Sun May 09 15:57:39 IST 2021","4139","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I will click on proceed to checkout","And I will click on proceed to checkout",""
"passed","Sun May 09 15:57:37 IST 2021","Sun May 09 15:57:37 IST 2021","77","","Register Page: Register with required fields","","Register Page: Register with required fields","And I entered city as ""hyderabad""","And I entered city as ""hyderabad""",""
"passed","Sun May 09 15:57:38 IST 2021","Sun May 09 15:57:38 IST 2021","79","","Register Page: Register with required fields","","Register Page: Register with required fields","And I entered zipcode as ""50007""","And I entered zipcode as ""50007""",""
"passed","Sun May 09 15:57:02 IST 2021","Sun May 09 15:57:02 IST 2021","79","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I entered address1 as ""address1""","And I entered address1 as ""address1""",""
"passed","Sun May 09 15:57:03 IST 2021","Sun May 09 15:57:07 IST 2021","4080","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I entered city as ""hyderabad""","And I entered city as ""hyderabad""",""
"passed","Sun May 09 15:57:11 IST 2021","Sun May 09 15:57:12 IST 2021","587","","Register Page: Register with all fields","","Register Page: Register with all fields","And I selected state as ""Alabama""","And I selected state as ""Alabama""",""
"passed","Sun May 09 15:57:35 IST 2021","Sun May 09 15:57:35 IST 2021","50","","Register Page: Register with required fields","","Register Page: Register with required fields","And I enter password as ""D@rk9""","And I enter password as ""D@rk9""",""
"passed","Sun May 09 15:57:27 IST 2021","Sun May 09 15:57:28 IST 2021","171","","Register Page: Register with required fields","","Register Page: Register with required fields","When I click on signin page","When I click on signin page",""
"passed","Sun May 09 15:56:58 IST 2021","Sun May 09 15:56:58 IST 2021","39","","Register Page: Register with all fields","","Register Page: Register with all fields","And I enter last name as ""all""","And I enter last name as ""all""",""
"passed","Sun May 09 15:56:36 IST 2021","Sun May 09 15:56:42 IST 2021","6739","","Register Page: Register with all fields","","Register Page: Register with all fields","Given User is on login page","Given User is on login page",""
"passed","Sun May 09 15:57:37 IST 2021","Sun May 09 15:57:37 IST 2021","32","","Register Page: Register with required fields","","Register Page: Register with required fields","And I click on special offers checkbox","And I click on special offers checkbox",""
"passed","Sun May 09 15:57:27 IST 2021","Sun May 09 15:57:30 IST 2021","3130","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","When I clicked on women category","When I clicked on women category",""
"passed","Sun May 09 15:57:05 IST 2021","Sun May 09 15:57:06 IST 2021","1317","","Register Page: Register with all fields","","Register Page: Register with all fields","And I enter DOB year as ""1990""","And I enter DOB year as ""1990""",""
"passed","Sun May 09 15:57:25 IST 2021","Sun May 09 15:57:25 IST 2021","3","","Register Page: Register with all fields","","Register Page: Register with all fields","","",""
"passed","Sun May 09 15:56:46 IST 2021","Sun May 09 15:56:52 IST 2021","6153","","Register Page: Register with all fields","","Register Page: Register with all fields","And I click on create account button","And I click on create account button",""
"passed","Sun May 09 15:57:09 IST 2021","Sun May 09 15:57:09 IST 2021","112","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I entered home phone as ""8099223332""","And I entered home phone as ""8099223332""",""
"passed","Sun May 09 15:57:12 IST 2021","Sun May 09 15:57:12 IST 2021","80","","Register Page: Register with all fields","","Register Page: Register with all fields","And I entered zipcode as ""50007""","And I entered zipcode as ""50007""",""
"passed","Sun May 09 15:56:43 IST 2021","Sun May 09 15:56:46 IST 2021","3660","","Register Page: Register with all fields","","Register Page: Register with all fields","And I enter email as ""anz1345005@gmail.com""","And I enter email as ""anz1345005@gmail.com""",""
"passed","Sun May 09 15:57:01 IST 2021","Sun May 09 15:57:02 IST 2021","70","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I entered company name as ""anz""","And I entered company name as ""anz""",""
"passed","Sun May 09 15:57:43 IST 2021","Sun May 09 15:57:43 IST 2021","1","","Register Page: Register with required fields","","Register Page: Register with required fields","","",""
"passed","Sun May 09 15:57:38 IST 2021","Sun May 09 15:57:38 IST 2021","84","","Register Page: Register with required fields","","Register Page: Register with required fields","And I entered mobile phone as ""8099223334""","And I entered mobile phone as ""8099223334""",""
"passed","Sun May 09 15:57:01 IST 2021","Sun May 09 15:57:01 IST 2021","41","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I click on news letter checkbox","And I click on news letter checkbox",""
"passed","Sun May 09 15:57:28 IST 2021","Sun May 09 15:57:30 IST 2021","2457","","Register Page: Register with required fields","","Register Page: Register with required fields","And I enter email as ""anz1345101@gmail.com""","And I enter email as ""anz1345101@gmail.com""",""
"passed","Sun May 09 15:56:58 IST 2021","Sun May 09 15:56:59 IST 2021","1348","","Register Page: Register with all fields","","Register Page: Register with all fields","And I enter DOB day as ""5""","And I enter DOB day as ""5""",""
"passed","Sun May 09 15:56:42 IST 2021","Sun May 09 15:56:43 IST 2021","288","","Register Page: Register with all fields","","Register Page: Register with all fields","When I click on signin page","When I click on signin page",""
"passed","Sun May 09 15:57:35 IST 2021","Sun May 09 15:57:36 IST 2021","238","","Register Page: Register with required fields","","Register Page: Register with required fields","And I enter DOB month as ""March""","And I enter DOB month as ""March""",""
"passed","Sun May 09 15:57:12 IST 2021","Sun May 09 15:57:12 IST 2021","49","","Register Page: Register with all fields","","Register Page: Register with all fields","And I click on register button","And I click on register button",""
"passed","Sun May 09 15:57:35 IST 2021","Sun May 09 15:57:35 IST 2021","16","","Register Page: Register with required fields","","Register Page: Register with required fields","And I verify email available as ""anz1345101@gmail.com""","And I verify email available as ""anz1345101@gmail.com""",""
"passed","Sun May 09 15:57:02 IST 2021","Sun May 09 15:57:03 IST 2021","974","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I selected country as ""United States""","And I selected country as ""United States""",""
"passed","Sun May 09 15:57:07 IST 2021","Sun May 09 15:57:07 IST 2021","65","","Register Page: Register with all fields","","Register Page: Register with all fields","And I entered company name as ""anz""","And I entered company name as ""anz""",""
"passed","Sun May 09 15:57:09 IST 2021","Sun May 09 15:57:09 IST 2021","102","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I entered zipcode as ""50007""","And I entered zipcode as ""50007""",""
"passed","Sun May 09 15:57:38 IST 2021","Sun May 09 15:57:38 IST 2021","46","","Register Page: Register with required fields","","Register Page: Register with required fields","And I click on register button","And I click on register button",""
"passed","Sun May 09 15:57:07 IST 2021","Sun May 09 15:57:09 IST 2021","1739","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I selected state as ""Alabama""","And I selected state as ""Alabama""",""
"passed","Sun May 09 15:56:57 IST 2021","Sun May 09 15:56:57 IST 2021","61","","Product Page: Adding Products to cart","","Product Page: Adding Products to cart","And I enter last name as ""all""","And I enter last name as ""all""",""
"passed","Sun May 09 15:57:07 IST 2021","Sun May 09 15:57:07 IST 2021","61","","Register Page: Register with all fields","","Register Page: Register with all fields","And I entered address1 as ""address1""","And I entered address1 as ""address1""",""
"passed","Sun May 09 15:57:15 IST 2021","Sun May 09 15:57:24 IST 2021","9112","","Register Page: Register with all fields","","Register Page: Register with all fields","And I click on signout button","And I click on signout button",""
